x	y	method	rep
1.0	100218.0	coal	r1
1.0	100218.0	census	r1
579.9219219219219	100218.0	coal	r1
579.9219219219219	100218.0	census	r1
1158.8438438438438	100218.0	coal	r1
1158.8438438438438	100218.0	census	r1
1737.7657657657658	100218.0	coal	r1
1737.7657657657658	100218.0	census	r1
2316.6876876876877	100218.0	coal	r1
2316.6876876876877	100218.0	census	r1
2895.60960960961	100218.0	coal	r1
2895.60960960961	100218.0	census	r1
3474.5315315315315	100218.0	coal	r1
3474.5315315315315	100218.0	census	r1
4053.453453453453	100218.0	coal	r1
4053.453453453453	100218.0	census	r1
4632.375375375375	100218.0	coal	r1
4632.375375375375	100218.0	census	r1
5211.2972972972975	100218.0	coal	r1
5211.2972972972975	100218.0	census	r1
5790.21921921922	100218.0	coal	r1
5790.21921921922	100218.0	census	r1
6369.141141141141	100218.0	coal	r1
6369.141141141141	100218.0	census	r1
6948.063063063063	100218.0	coal	r1
6948.063063063063	100218.0	census	r1
7526.984984984985	100218.0	coal	r1
7526.984984984985	100218.0	census	r1
8105.906906906906	100218.0	coal	r1
8105.906906906906	100218.0	census	r1
8684.82882882883	100218.0	coal	r1
8684.82882882883	100218.0	census	r1
9263.75075075075	100218.0	coal	r1
9263.75075075075	100218.0	census	r1
9842.672672672672	100218.0	coal	r1
9842.672672672672	100218.0	census	r1
10421.594594594595	100218.0	coal	r1
10421.594594594595	100218.0	census	r1
11000.516516516516	100218.0	coal	r1
11000.516516516516	100218.0	census	r1
11579.43843843844	100218.0	coal	r1
11579.43843843844	100218.0	census	r1
12158.36036036036	100218.0	coal	r1
12158.36036036036	100218.0	census	r1
12737.282282282282	100218.0	coal	r1
12737.282282282282	100218.0	census	r1
13316.204204204205	100218.0	coal	r1
13316.204204204205	100218.0	census	r1
13895.126126126126	100218.0	coal	r1
13895.126126126126	100218.0	census	r1
14474.048048048047	100218.0	coal	r1
14474.048048048047	100218.0	census	r1
15052.96996996997	100217.99999999999	coal	r1
15052.96996996997	100218.0	census	r1
15631.891891891892	100218.0	coal	r1
15631.891891891892	100218.0	census	r1
16210.813813813813	100218.0	coal	r1
16210.813813813813	100218.0	census	r1
16789.735735735736	100218.0	coal	r1
16789.735735735736	100218.0	census	r1
17368.65765765766	100218.0	coal	r1
17368.65765765766	100218.0	census	r1
17947.57957957958	100217.99999999999	coal	r1
17947.57957957958	100218.0	census	r1
18526.5015015015	100218.0	coal	r1
18526.5015015015	100218.0	census	r1
19105.423423423425	100218.0	coal	r1
19105.423423423425	100218.0	census	r1
19684.345345345344	100218.0	coal	r1
19684.345345345344	100218.0	census	r1
20263.267267267267	100218.0	coal	r1
20263.267267267267	100218.0	census	r1
20842.18918918919	100218.0	coal	r1
20842.18918918919	100218.0	census	r1
21421.11111111111	100218.0	coal	r1
21421.11111111111	100218.0	census	r1
22000.033033033033	100218.00000000001	coal	r1
22000.033033033033	100218.0	census	r1
22578.954954954956	100218.0	coal	r1
22578.954954954956	100218.0	census	r1
23157.87687687688	100218.0	coal	r1
23157.87687687688	100218.0	census	r1
23736.798798798798	100218.0	coal	r1
23736.798798798798	100218.0	census	r1
24315.72072072072	100218.0	coal	r1
24315.72072072072	100218.0	census	r1
24894.642642642644	100218.0	coal	r1
24894.642642642644	100218.0	census	r1
25473.564564564564	100218.0	coal	r1
25473.564564564564	100218.0	census	r1
26052.486486486487	100218.0	coal	r1
26052.486486486487	100218.0	census	r1
26631.40840840841	100218.0	coal	r1
26631.40840840841	100218.0	census	r1
27210.33033033033	100218.0	coal	r1
27210.33033033033	100218.0	census	r1
27789.252252252252	100218.0	coal	r1
27789.252252252252	100218.0	census	r1
28368.174174174175	100218.0	coal	r1
28368.174174174175	100218.0	census	r1
28947.096096096095	100218.0	coal	r1
28947.096096096095	100218.0	census	r1
29526.018018018018	100218.0	coal	r1
29526.018018018018	100218.0	census	r1
30104.93993993994	100218.0	coal	r1
30104.93993993994	100218.0	census	r1
30683.86186186186	100218.00000000001	coal	r1
30683.86186186186	100218.0	census	r1
31262.783783783783	100218.0	coal	r1
31262.783783783783	100218.0	census	r1
31841.705705705706	100218.0	coal	r1
31841.705705705706	100218.0	census	r1
32420.627627627626	100218.0	coal	r1
32420.627627627626	100218.0	census	r1
32999.54954954955	100218.0	coal	r1
32999.54954954955	100218.0	census	r1
33578.47147147147	100218.0	coal	r1
33578.47147147147	100218.0	census	r1
34157.393393393395	100218.00000000001	coal	r1
34157.393393393395	100218.0	census	r1
34736.31531531532	100218.0	coal	r1
34736.31531531532	100218.0	census	r1
35315.237237237234	100218.0	coal	r1
35315.237237237234	100218.0	census	r1
35894.15915915916	100218.0	coal	r1
35894.15915915916	100218.0	census	r1
36473.08108108108	100218.0	coal	r1
36473.08108108108	100218.0	census	r1
37052.003003003	100218.0	coal	r1
37052.003003003	100218.0	census	r1
37630.924924924926	100218.0	coal	r1
37630.924924924926	100218.0	census	r1
38209.84684684685	100217.99999999999	coal	r1
38209.84684684685	100218.0	census	r1
38788.76876876877	100218.0	coal	r1
38788.76876876877	100218.0	census	r1
39367.69069069069	100218.0	coal	r1
39367.69069069069	100218.0	census	r1
39946.61261261261	100218.0	coal	r1
39946.61261261261	100218.0	census	r1
40525.534534534534	100218.0	coal	r1
40525.534534534534	100218.0	census	r1
41104.45645645646	100218.0	coal	r1
41104.45645645646	100218.0	census	r1
41683.37837837838	100218.0	coal	r1
41683.37837837838	100218.0	census	r1
42262.3003003003	100218.0	coal	r1
42262.3003003003	100218.0	census	r1
42841.22222222222	100218.0	coal	r1
42841.22222222222	100218.0	census	r1
43420.14414414414	100218.0	coal	r1
43420.14414414414	100218.0	census	r1
43999.066066066065	100218.0	coal	r1
43999.066066066065	100218.0	census	r1
