x	y	method	rep
29.0	10844.508808093806	coal	r1
29.0	10841.520577663592	census	r1
878.7957957957958	10539.148208059369	coal	r1
878.7957957957958	10451.590123226882	census	r1
1728.5915915915916	10242.213041141664	coal	r1
1728.5915915915916	10075.684063081366	census	r1
2578.3873873873877	9953.47324846211	coal	r1
2578.3873873873877	9713.29799026678	census	r1
3428.1831831831832	9672.703856773955	coal	r1
3428.1831831831832	9363.94563952484	census	r1
4277.978978978978	9399.684805138804	coal	r1
4277.978978978978	9027.158234807535	census	r1
5127.774774774775	9134.200770971944	coal	r1
5127.774774774775	8702.483860253227	census	r1
5977.57057057057	8876.040995464227	coal	r1
5977.57057057057	8389.48685378645	census	r1
6827.3663663663665	8624.999108423486	coal	r1
6827.3663663663665	8087.747222527757	census	r1
7677.1621621621625	8380.872952626843	coal	r1
7677.1621621621625	7796.860079229163	census	r1
8526.957957957957	8143.464407840697	coal	r1
8526.957957957957	7516.435098978981	census	r1
9376.753753753754	7912.579214751003	coal	r1
9376.753753753754	7246.095995447017	census	r1
10226.54954954955	7688.026799155824	coal	r1
10226.54954954955	6985.480015967359	census	r1
11076.345345345344	7469.620096911312	coal	r1
11076.345345345344	6734.237454781194	census	r1
11926.14114114114	7257.175380296208	coal	r1
11926.14114114114	6492.0311837865565	census	r1
12775.936936936936	7050.5120866748375	coal	r1
12775.936936936936	6258.53620016529	census	r1
13625.732732732733	6849.4526506028205	coal	r1
13625.732732732733	6033.439190280265	census	r1
14475.528528528528	6653.822340840423	coal	r1
14475.528528528528	5816.438109257621	census	r1
15325.324324324325	6463.449104126125	coal	r1
15325.324324324325	5607.241775689938	census	r1
16175.120120120118	6278.163418026354	coal	r1
16175.120120120118	5405.569480916462	census	r1
17024.915915915914	6097.798155726902	coal	r1
17024.915915915914	5211.150612356126	census	r1
17874.711711711712	5922.188466277983	coal	r1
17874.711711711712	5023.724290387914	census	r1
18724.507507507507	5751.25462732422	coal	r1
18724.507507507507	4843.039018291346	census	r1
19574.303303303303	5587.371734516838	coal	r1
