x	y	method	rep
25.0	29614.141030419996	coal	r1
25.0	29606.679658197816	census	r1
495.44544544544544	27597.269506179106	coal	r1
495.44544544544544	27459.954097597656	census	r1
965.8908908908909	25717.483602492743	coal	r1
965.8908908908909	25468.883635297523	census	r1
1436.3363363363364	23965.488396112072	coal	r1
1436.3363363363364	23622.18200812923	census	r1
1906.7817817817818	22332.616679401857	coal	r1
1906.7817817817818	21909.381298983888	census	r1
2377.2272272272276	20810.786982372483	coal	r1
2377.2272272272276	20320.77260005332	census	r1
2847.672672672673	19392.46433089119	coal	r1
2847.672672672673	18847.35097847006	census	r1
3318.118118118118	18070.623574998634	coal	r1
3318.118118118118	17480.764432387008	census	r1
3788.5635635635635	16838.715129205757	coal	r1
3788.5635635635635	16213.266548157202	census	r1
4259.00900900901	15690.632974609449	coal	r1
4259.00900900901	15037.672590254011	census	r1
4729.454454454455	14620.684780545562	coal	r1
4729.454454454455	13947.31877502988	census	r1
5199.8998998998995	13623.56401122878	coal	r1
5199.8998998998995	12936.02449745949	census	r1
5670.345345345346	12694.32389035965	coal	r1
5670.345345345346	11998.057296751902	census	r1
6140.790790790791	11828.3531039665	coal	r1
6140.790790790791	11128.10036224132	census	r1
6611.236236236236	11021.35312877003	coal	r1
6611.236236236236	10321.222395365605	census	r1
7081.681681681683	10269.31708008937	coal	r1
7081.681681681683	9572.849656896931	census	r1
7552.127127127127	9568.50997974007	coal	r1
7552.127127127127	8878.740040976092	census	r1
8022.572572572572	8915.450350500321	coal	r1
8022.572572572572	8234.959028990512	census	r1
8493.01801801802	8306.893049541877	coal	r1
8493.01801801802	7637.857386992164	census	r1
8963.463463463464	7739.813258736199	coal	r1
8963.463463463464	7084.05048023439	census	r1
9433.90890890891	7211.391554963601	coal	r1
9433.90890890891	6570.399087573404	census	r1
9904.354354354355	6718.999988477969	coal	r1
9904.354354354355	6093.991606982034	census	r1
10374.799799799799	6260.18910202228	coal	r1
10374.799799799799	5652.127551308745	census	r1
10845.245245245245	5832.6758277612025	coal	r1
10845.245245245245	5242.30224072863	census	r1
11315.690690690692	5434.332203207093	coal	r1
11315.690690690692	4862.192605116466	census	r1
11786.136136136136	5063.174851176135	coal	r1
11786.136136136136	4509.644015863418	census	r1
12256.581581581582	4717.3551724345725	coal	r1
12256.581581581582	4182.6580724943515	census	r1
12727.027027027027	4395.150203092429	coal	r1
12727.027027027027	3879.381274854938	census	r1
13197.472472472473	4094.954091985364	coal	r1
13197.472472472473	3598.094516657493	census	r1
13667.91791791792	3815.270156266563	coal	r1
13667.91791791792	3337.2033408303782	census	r1
14138.363363363365	3554.7034762205117	coal	r1
14138.363363363365	3095.228901433991	census	r1
14608.808808808808	3311.9539929202147	coal	r1
14608.808808808808	2870.79958091149	census	r1
15079.254254254254	3085.810074789587	coal	r1
15079.254254254254	2662.643215157167	census	r1
15549.6996996997	2875.1425214132887	coal	r1
15549.6996996997	2469.579882330725	census	r1
16020.145145145145	2678.8989750665596	coal	r1
