"x","y","method","rep"
1431880,10021.6162991145,"dadi","r1"
1430880,10021.6162991145,"dadi","r1"
1429880,10021.6162991145,"dadi","r1"
1428880,10021.6162991145,"dadi","r1"
1427880,10021.6162991145,"dadi","r1"
1426880,10021.6162991145,"dadi","r1"
1425880,10021.6162991145,"dadi","r1"
1424880,10021.6162991145,"dadi","r1"
1423880,10021.6162991145,"dadi","r1"
1422880,10021.6162991145,"dadi","r1"
1421880,10021.6162991145,"dadi","r1"
1420880,10021.6162991145,"dadi","r1"
1419880,10021.6162991145,"dadi","r1"
1418880,10021.6162991145,"dadi","r1"
1417880,10021.6162991145,"dadi","r1"
1416880,10021.6162991145,"dadi","r1"
1415880,10021.6162991145,"dadi","r1"
1414880,10021.6162991145,"dadi","r1"
1413880,10021.6162991145,"dadi","r1"
1412880,10021.6162991145,"dadi","r1"
1411880,10021.6162991145,"dadi","r1"
1410880,10021.6162991145,"dadi","r1"
1409880,10021.6162991145,"dadi","r1"
1408880,10021.6162991145,"dadi","r1"
1407880,10021.6162991145,"dadi","r1"
1406880,10021.6162991145,"dadi","r1"
1405880,10021.6162991145,"dadi","r1"
1404880,10021.6162991145,"dadi","r1"
1403880,10021.6162991145,"dadi","r1"
1402880,10021.6162991145,"dadi","r1"
1401880,10021.6162991145,"dadi","r1"
1400880,10021.6162991145,"dadi","r1"
1399880,10021.6162991145,"dadi","r1"
1398880,10021.6162991145,"dadi","r1"
1397880,10021.6162991145,"dadi","r1"
1396880,10021.6162991145,"dadi","r1"
1395880,10021.6162991145,"dadi","r1"
1394880,10021.6162991145,"dadi","r1"
1393880,10021.6162991145,"dadi","r1"
1392880,10021.6162991145,"dadi","r1"
1391880,10021.6162991145,"dadi","r1"
1390880,10021.6162991145,"dadi","r1"
1389880,10021.6162991145,"dadi","r1"
1388880,10021.6162991145,"dadi","r1"
1387880,10021.6162991145,"dadi","r1"
1386880,10021.6162991145,"dadi","r1"
1385880,10021.6162991145,"dadi","r1"
1384880,10021.6162991145,"dadi","r1"
1383880,10021.6162991145,"dadi","r1"
1382880,10021.6162991145,"dadi","r1"
1381880,10021.6162991145,"dadi","r1"
1380880,10021.6162991145,"dadi","r1"
1379880,10021.6162991145,"dadi","r1"
1378880,10021.6162991145,"dadi","r1"
1377880,10021.6162991145,"dadi","r1"
1376880,10021.6162991145,"dadi","r1"
1375880,10021.6162991145,"dadi","r1"
1374880,10021.6162991145,"dadi","r1"
1373880,10021.6162991145,"dadi","r1"
1372880,10021.6162991145,"dadi","r1"
1371880,10021.6162991145,"dadi","r1"
1370880,10021.6162991145,"dadi","r1"
1369880,10021.6162991145,"dadi","r1"
1368880,10021.6162991145,"dadi","r1"
1367880,10021.6162991145,"dadi","r1"
1366880,10021.6162991145,"dadi","r1"
1365880,10021.6162991145,"dadi","r1"
1364880,10021.6162991145,"dadi","r1"
1363880,10021.6162991145,"dadi","r1"
1362880,10021.6162991145,"dadi","r1"
1361880,10021.6162991145,"dadi","r1"
1360880,10021.6162991145,"dadi","r1"
1359880,10021.6162991145,"dadi","r1"
1358880,10021.6162991145,"dadi","r1"
1357880,10021.6162991145,"dadi","r1"
1356880,10021.6162991145,"dadi","r1"
1355880,10021.6162991145,"dadi","r1"
1354880,10021.6162991145,"dadi","r1"
1353880,10021.6162991145,"dadi","r1"
1352880,10021.6162991145,"dadi","r1"
1351880,10021.6162991145,"dadi","r1"
1350880,10021.6162991145,"dadi","r1"
1349880,10021.6162991145,"dadi","r1"
1348880,10021.6162991145,"dadi","r1"
1347880,10021.6162991145,"dadi","r1"
1346880,10021.6162991145,"dadi","r1"
1345880,10021.6162991145,"dadi","r1"
1344880,10021.6162991145,"dadi","r1"
1343880,10021.6162991145,"dadi","r1"
1342880,10021.6162991145,"dadi","r1"
1341880,10021.6162991145,"dadi","r1"
1340880,10021.6162991145,"dadi","r1"
1339880,10021.6162991145,"dadi","r1"
1338880,10021.6162991145,"dadi","r1"
1337880,10021.6162991145,"dadi","r1"
1336880,10021.6162991145,"dadi","r1"
1335880,10021.6162991145,"dadi","r1"
1334880,10021.6162991145,"dadi","r1"
1333880,10021.6162991145,"dadi","r1"
1332880,10021.6162991145,"dadi","r1"
1331880,10021.6162991145,"dadi","r1"
1330880,10021.6162991145,"dadi","r1"
1329880,10021.6162991145,"dadi","r1"
1328880,10021.6162991145,"dadi","r1"
1327880,10021.6162991145,"dadi","r1"
1326880,10021.6162991145,"dadi","r1"
1325880,10021.6162991145,"dadi","r1"
1324880,10021.6162991145,"dadi","r1"
1323880,10021.6162991145,"dadi","r1"
1322880,10021.6162991145,"dadi","r1"
1321880,10021.6162991145,"dadi","r1"
1320880,10021.6162991145,"dadi","r1"
1319880,10021.6162991145,"dadi","r1"
1318880,10021.6162991145,"dadi","r1"
1317880,10021.6162991145,"dadi","r1"
1316880,10021.6162991145,"dadi","r1"
1315880,10021.6162991145,"dadi","r1"
1314880,10021.6162991145,"dadi","r1"
1313880,10021.6162991145,"dadi","r1"
1312880,10021.6162991145,"dadi","r1"
1311880,10021.6162991145,"dadi","r1"
1310880,10021.6162991145,"dadi","r1"
1309880,10021.6162991145,"dadi","r1"
1308880,10021.6162991145,"dadi","r1"
1307880,10021.6162991145,"dadi","r1"
1306880,10021.6162991145,"dadi","r1"
1305880,10021.6162991145,"dadi","r1"
1304880,10021.6162991145,"dadi","r1"
1303880,10021.6162991145,"dadi","r1"
1302880,10021.6162991145,"dadi","r1"
1301880,10021.6162991145,"dadi","r1"
1300880,10021.6162991145,"dadi","r1"
1299880,10021.6162991145,"dadi","r1"
1298880,10021.6162991145,"dadi","r1"
1297880,10021.6162991145,"dadi","r1"
1296880,10021.6162991145,"dadi","r1"
1295880,10021.6162991145,"dadi","r1"
1294880,10021.6162991145,"dadi","r1"
1293880,10021.6162991145,"dadi","r1"
1292880,10021.6162991145,"dadi","r1"
1291880,10021.6162991145,"dadi","r1"
1290880,10021.6162991145,"dadi","r1"
1289880,10021.6162991145,"dadi","r1"
1288880,10021.6162991145,"dadi","r1"
1287880,10021.6162991145,"dadi","r1"
1286880,10021.6162991145,"dadi","r1"
1285880,10021.6162991145,"dadi","r1"
1284880,10021.6162991145,"dadi","r1"
1283880,10021.6162991145,"dadi","r1"
1282880,10021.6162991145,"dadi","r1"
1281880,10021.6162991145,"dadi","r1"
1280880,10021.6162991145,"dadi","r1"
1279880,10021.6162991145,"dadi","r1"
1278880,10021.6162991145,"dadi","r1"
1277880,10021.6162991145,"dadi","r1"
1276880,10021.6162991145,"dadi","r1"
1275880,10021.6162991145,"dadi","r1"
1274880,10021.6162991145,"dadi","r1"
1273880,10021.6162991145,"dadi","r1"
1272880,10021.6162991145,"dadi","r1"
1271880,10021.6162991145,"dadi","r1"
1270880,10021.6162991145,"dadi","r1"
1269880,10021.6162991145,"dadi","r1"
1268880,10021.6162991145,"dadi","r1"
1267880,10021.6162991145,"dadi","r1"
1266880,10021.6162991145,"dadi","r1"
1265880,10021.6162991145,"dadi","r1"
1264880,10021.6162991145,"dadi","r1"
1263880,10021.6162991145,"dadi","r1"
1262880,10021.6162991145,"dadi","r1"
