"x","y","method","rep"
5e+05,1722594.30128525,"dadi","r1"
499000,1722594.30128525,"dadi","r1"
498000,1722594.30128525,"dadi","r1"
497000,1722594.30128525,"dadi","r1"
496000,1722594.30128525,"dadi","r1"
495000,1722594.30128525,"dadi","r1"
494000,1722594.30128525,"dadi","r1"
493000,1722594.30128525,"dadi","r1"
492000,1722594.30128525,"dadi","r1"
491000,1722594.30128525,"dadi","r1"
490000,1722594.30128525,"dadi","r1"
489000,1722594.30128525,"dadi","r1"
488000,1722594.30128525,"dadi","r1"
487000,1722594.30128525,"dadi","r1"
486000,1722594.30128525,"dadi","r1"
485000,1722594.30128525,"dadi","r1"
484000,1722594.30128525,"dadi","r1"
483000,1722594.30128525,"dadi","r1"
482000,1722594.30128525,"dadi","r1"
481000,1722594.30128525,"dadi","r1"
480000,1722594.30128525,"dadi","r1"
479000,1722594.30128525,"dadi","r1"
478000,1722594.30128525,"dadi","r1"
477000,1722594.30128525,"dadi","r1"
476000,1722594.30128525,"dadi","r1"
475000,1722594.30128525,"dadi","r1"
474000,1722594.30128525,"dadi","r1"
473000,1722594.30128525,"dadi","r1"
472000,1722594.30128525,"dadi","r1"
471000,1722594.30128525,"dadi","r1"
470000,1722594.30128525,"dadi","r1"
469000,1722594.30128525,"dadi","r1"
468000,1722594.30128525,"dadi","r1"
467000,1722594.30128525,"dadi","r1"
466000,1722594.30128525,"dadi","r1"
465000,1722594.30128525,"dadi","r1"
464000,1722594.30128525,"dadi","r1"
463000,1722594.30128525,"dadi","r1"
462000,1722594.30128525,"dadi","r1"
461000,1722594.30128525,"dadi","r1"
460000,1722594.30128525,"dadi","r1"
459000,1722594.30128525,"dadi","r1"
458000,1722594.30128525,"dadi","r1"
457000,1722594.30128525,"dadi","r1"
456000,1722594.30128525,"dadi","r1"
455000,1722594.30128525,"dadi","r1"
454000,1722594.30128525,"dadi","r1"
453000,1722594.30128525,"dadi","r1"
452000,1722594.30128525,"dadi","r1"
451000,1722594.30128525,"dadi","r1"
450000,1722594.30128525,"dadi","r1"
449000,1722594.30128525,"dadi","r1"
448000,1722594.30128525,"dadi","r1"
447000,1722594.30128525,"dadi","r1"
446000,1722594.30128525,"dadi","r1"
445000,1722594.30128525,"dadi","r1"
444000,1722594.30128525,"dadi","r1"
443000,1722594.30128525,"dadi","r1"
442000,1722594.30128525,"dadi","r1"
441000,1722594.30128525,"dadi","r1"
440000,1722594.30128525,"dadi","r1"
439000,1722594.30128525,"dadi","r1"
438000,1722594.30128525,"dadi","r1"
437000,1722594.30128525,"dadi","r1"
436000,1722594.30128525,"dadi","r1"
435000,1722594.30128525,"dadi","r1"
434000,1722594.30128525,"dadi","r1"
433000,1722594.30128525,"dadi","r1"
432000,1722594.30128525,"dadi","r1"
431000,1722594.30128525,"dadi","r1"
430000,1722594.30128525,"dadi","r1"
429000,1722594.30128525,"dadi","r1"
428000,1722594.30128525,"dadi","r1"
427000,1722594.30128525,"dadi","r1"
426000,1722594.30128525,"dadi","r1"
425000,1722594.30128525,"dadi","r1"
424000,1722594.30128525,"dadi","r1"
423000,1722594.30128525,"dadi","r1"
422000,1722594.30128525,"dadi","r1"
421000,1722594.30128525,"dadi","r1"
420000,1722594.30128525,"dadi","r1"
419000,1722594.30128525,"dadi","r1"
418000,1722594.30128525,"dadi","r1"
417000,1722594.30128525,"dadi","r1"
416000,1722594.30128525,"dadi","r1"
415000,1722594.30128525,"dadi","r1"
414000,1722594.30128525,"dadi","r1"
413000,1722594.30128525,"dadi","r1"
412000,1722594.30128525,"dadi","r1"
411000,1722594.30128525,"dadi","r1"
410000,1722594.30128525,"dadi","r1"
409000,1722594.30128525,"dadi","r1"
408000,1722594.30128525,"dadi","r1"
407000,1722594.30128525,"dadi","r1"
406000,1722594.30128525,"dadi","r1"
405000,1722594.30128525,"dadi","r1"
404000,1722594.30128525,"dadi","r1"
403000,1722594.30128525,"dadi","r1"
402000,1722594.30128525,"dadi","r1"
401000,1722594.30128525,"dadi","r1"
4e+05,1722594.30128525,"dadi","r1"
399000,1722594.30128525,"dadi","r1"
398000,1722594.30128525,"dadi","r1"
397000,1722594.30128525,"dadi","r1"
396000,1722594.30128525,"dadi","r1"
395000,1722594.30128525,"dadi","r1"
394000,1722594.30128525,"dadi","r1"
393000,1722594.30128525,"dadi","r1"
392000,1722594.30128525,"dadi","r1"
391000,1722594.30128525,"dadi","r1"
390000,1722594.30128525,"dadi","r1"
389000,1722594.30128525,"dadi","r1"
388000,1722594.30128525,"dadi","r1"
387000,1722594.30128525,"dadi","r1"
386000,1722594.30128525,"dadi","r1"
385000,1722594.30128525,"dadi","r1"
384000,1722594.30128525,"dadi","r1"
383000,1722594.30128525,"dadi","r1"
382000,1722594.30128525,"dadi","r1"
381000,1722594.30128525,"dadi","r1"
380000,1722594.30128525,"dadi","r1"
379000,1722594.30128525,"dadi","r1"
378000,1722594.30128525,"dadi","r1"
377000,1722594.30128525,"dadi","r1"
376000,1722594.30128525,"dadi","r1"
375000,1722594.30128525,"dadi","r1"
374000,1722594.30128525,"dadi","r1"
373000,1722594.30128525,"dadi","r1"
372000,1722594.30128525,"dadi","r1"
371000,1722594.30128525,"dadi","r1"
370000,1722594.30128525,"dadi","r1"
369000,1722594.30128525,"dadi","r1"
368000,1722594.30128525,"dadi","r1"
367000,1722594.30128525,"dadi","r1"
366000,1722594.30128525,"dadi","r1"
365000,1722594.30128525,"dadi","r1"
364000,1722594.30128525,"dadi","r1"
363000,1722594.30128525,"dadi","r1"
362000,1722594.30128525,"dadi","r1"
361000,1722594.30128525,"dadi","r1"
360000,1722594.30128525,"dadi","r1"
359000,1722594.30128525,"dadi","r1"
358000,1722594.30128525,"dadi","r1"
357000,1722594.30128525,"dadi","r1"
356000,1722594.30128525,"dadi","r1"
355000,1722594.30128525,"dadi","r1"
354000,1722594.30128525,"dadi","r1"
353000,1722594.30128525,"dadi","r1"
352000,1722594.30128525,"dadi","r1"
351000,1722594.30128525,"dadi","r1"
350000,1722594.30128525,"dadi","r1"
349000,1722594.30128525,"dadi","r1"
348000,1722594.30128525,"dadi","r1"
347000,1722594.30128525,"dadi","r1"
346000,1722594.30128525,"dadi","r1"
345000,1722594.30128525,"dadi","r1"
344000,1722594.30128525,"dadi","r1"
343000,1722594.30128525,"dadi","r1"
342000,1722594.30128525,"dadi","r1"
341000,1722594.30128525,"dadi","r1"
340000,1722594.30128525,"dadi","r1"
339000,1722594.30128525,"dadi","r1"
338000,1722594.30128525,"dadi","r1"
337000,1722594.30128525,"dadi","r1"
336000,1722594.30128525,"dadi","r1"
335000,1722594.30128525,"dadi","r1"
334000,1722594.30128525,"dadi","r1"
333000,1722594.30128525,"dadi","r1"
332000,1722594.30128525,"dadi","r1"
331000,1722594.30128525,"dadi","r1"
330000,1722594.30128525,"dadi","r1"
329000,1722594.30128525,"dadi","r1"
328000,1722594.30128525,"dadi","r1"
327000,1722594.30128525,"dadi","r1"
326000,1722594.30128525,"dadi","r1"
325000,1722594.30128525,"dadi","r1"
324000,1722594.30128525,"dadi","r1"
323000,1722594.30128525,"dadi","r1"
322000,1722594.30128525,"dadi","r1"
321000,1722594.30128525,"dadi","r1"
320000,1722594.30128525,"dadi","r1"
319000,1722594.30128525,"dadi","r1"
318000,1722594.30128525,"dadi","r1"
317000,1722594.30128525,"dadi","r1"
316000,1722594.30128525,"dadi","r1"
315000,1722594.30128525,"dadi","r1"
314000,1722594.30128525,"dadi","r1"
313000,1722594.30128525,"dadi","r1"
312000,1722594.30128525,"dadi","r1"
311000,1722594.30128525,"dadi","r1"
310000,1722594.30128525,"dadi","r1"
309000,1722594.30128525,"dadi","r1"
308000,1722594.30128525,"dadi","r1"
307000,1722594.30128525,"dadi","r1"
306000,1722594.30128525,"dadi","r1"
305000,1722594.30128525,"dadi","r1"
304000,1722594.30128525,"dadi","r1"
303000,1722594.30128525,"dadi","r1"
302000,1722594.30128525,"dadi","r1"
301000,1722594.30128525,"dadi","r1"
3e+05,1722594.30128525,"dadi","r1"
299000,1722594.30128525,"dadi","r1"
298000,1722594.30128525,"dadi","r1"
297000,1722594.30128525,"dadi","r1"
296000,1722594.30128525,"dadi","r1"
295000,1722594.30128525,"dadi","r1"
294000,1722594.30128525,"dadi","r1"
293000,1722594.30128525,"dadi","r1"
292000,1722594.30128525,"dadi","r1"
291000,1722594.30128525,"dadi","r1"
290000,1722594.30128525,"dadi","r1"
289000,1722594.30128525,"dadi","r1"
288000,1722594.30128525,"dadi","r1"
287000,1722594.30128525,"dadi","r1"
286000,1722594.30128525,"dadi","r1"
285000,1722594.30128525,"dadi","r1"
284000,1722594.30128525,"dadi","r1"
283000,1722594.30128525,"dadi","r1"
282000,1722594.30128525,"dadi","r1"
281000,1722594.30128525,"dadi","r1"
280000,1722594.30128525,"dadi","r1"
279000,1722594.30128525,"dadi","r1"
278000,1722594.30128525,"dadi","r1"
277000,1722594.30128525,"dadi","r1"
276000,1722594.30128525,"dadi","r1"
275000,1722594.30128525,"dadi","r1"
274000,1722594.30128525,"dadi","r1"
273000,1722594.30128525,"dadi","r1"
272000,1722594.30128525,"dadi","r1"
271000,1722594.30128525,"dadi","r1"
270000,1722594.30128525,"dadi","r1"
269000,1722594.30128525,"dadi","r1"
268000,1722594.30128525,"dadi","r1"
267000,1722594.30128525,"dadi","r1"
266000,1722594.30128525,"dadi","r1"
265000,1722594.30128525,"dadi","r1"
264000,1722594.30128525,"dadi","r1"
263000,1722594.30128525,"dadi","r1"
262000,1722594.30128525,"dadi","r1"
261000,1722594.30128525,"dadi","r1"
260000,1722594.30128525,"dadi","r1"
259000,1722594.30128525,"dadi","r1"
258000,1722594.30128525,"dadi","r1"
257000,1722594.30128525,"dadi","r1"
256000,1722594.30128525,"dadi","r1"
255000,1722594.30128525,"dadi","r1"
254000,1722594.30128525,"dadi","r1"
253000,1722594.30128525,"dadi","r1"
252000,1722594.30128525,"dadi","r1"
251000,1722594.30128525,"dadi","r1"
250000,1722594.30128525,"dadi","r1"
249000,1722594.30128525,"dadi","r1"
248000,1722594.30128525,"dadi","r1"
247000,1722594.30128525,"dadi","r1"
246000,1722594.30128525,"dadi","r1"
245000,1722594.30128525,"dadi","r1"
244000,1722594.30128525,"dadi","r1"
243000,1722594.30128525,"dadi","r1"
242000,1722594.30128525,"dadi","r1"
241000,1722594.30128525,"dadi","r1"
240000,1722594.30128525,"dadi","r1"
239000,1722594.30128525,"dadi","r1"
238000,1722594.30128525,"dadi","r1"
237000,1722594.30128525,"dadi","r1"
236000,1722594.30128525,"dadi","r1"
235000,1722594.30128525,"dadi","r1"
234000,1722594.30128525,"dadi","r1"
233000,1722594.30128525,"dadi","r1"
232000,1722594.30128525,"dadi","r1"
231000,1722594.30128525,"dadi","r1"
230000,1722594.30128525,"dadi","r1"
229000,1722594.30128525,"dadi","r1"
228000,1722594.30128525,"dadi","r1"
227000,1722594.30128525,"dadi","r1"
226000,1722594.30128525,"dadi","r1"
225000,1722594.30128525,"dadi","r1"
224000,1722594.30128525,"dadi","r1"
223000,1722594.30128525,"dadi","r1"
222000,1722594.30128525,"dadi","r1"
221000,1722594.30128525,"dadi","r1"
220000,1722594.30128525,"dadi","r1"
219000,1722594.30128525,"dadi","r1"
218000,1722594.30128525,"dadi","r1"
217000,1722594.30128525,"dadi","r1"
216000,1722594.30128525,"dadi","r1"
215000,1722594.30128525,"dadi","r1"
214000,1722594.30128525,"dadi","r1"
213000,1722594.30128525,"dadi","r1"
