x	y	method	rep
29.0	10844.50880817989	coal	r1
57.9998633646456	10833.94680237753	coal	r1
86.9997267292912	10823.394875155045	coal	r1
115.9995900939368	10812.853017063178	coal	r1
144.9994534585824	10802.32121865996	coal	r1
173.999316823228	10791.799470510809	coal	r1
202.9991801878736	10781.287763188488	coal	r1
231.9990435525192	10770.786087273074	coal	r1
260.9989069171648	10760.294433351957	coal	r1
289.99877028181044	10749.812792019844	coal	r1
318.998633646456	10739.341153878748	coal	r1
347.9984970111016	10728.879509537926	coal	r1
376.9983603757472	10718.427849614012	coal	r1
405.99822374039286	10707.986164730877	coal	r1
434.9980871050384	10697.554445519616	coal	r1
463.997950469684	10687.132682618694	coal	r1
492.99781383432963	10676.720866673684	coal	r1
521.9976771989752	10666.31898833756	coal	r1
550.9975405636209	10655.927038270413	coal	r1
579.9974039282664	10645.54500713962	coal	r1
608.997267292912	10635.172885619793	coal	r1
637.9971306575576	10624.810664392753	coal	r1
666.9969940222032	10614.458334147483	coal	r1
695.9968573868489	10604.11588558025	coal	r1
724.9967207514944	10593.783309394434	coal	r1
753.99658411614	10583.460596300614	coal	r1
782.9964474807857	10573.147737016536	coal	r1
811.9963108454313	10562.844722267182	coal	r1
840.9961742100768	10552.551542784608	coal	r1
869.9960375747224	10542.268189307986	coal	r1
898.995900939368	10531.99465258386	coal	r1
927.9957643040137	10521.73092336567	coal	r1
956.9956276686593	10511.476992414066	coal	r1
985.9954910333048	10501.232850496812	coal	r1
1014.9953543979503	10490.998488388792	coal	r1
1043.9952177625962	10480.77389687197	coal	r1
1072.9950811272417	10470.559066735408	coal	r1
1101.9949444918873	10460.353988775316	coal	r1
1130.9948078565328	10450.158653794915	coal	r1
1159.9946712211784	10439.973052604508	coal	r1
1188.994534585824	10429.797176021484	coal	r1
1217.9943979504696	10419.631014870258	coal	r1
1246.9942613151152	10409.474559982344	coal	r1
1275.994124679761	10399.327802196205	coal	r1
1304.9939880444065	10389.190732357445	coal	r1
1333.993851409052	10379.063341318602	coal	r1
1362.9937147736978	10368.945619939283	coal	r1
1391.9935781383433	10358.837559086087	coal	r1
1420.9934415029888	10348.73914963259	coal	r1
1449.9933048676344	10338.65038245937	coal	r1
1478.99316823228	10328.571248454016	coal	r1
1507.9930315969257	10318.501738511073	coal	r1
1536.9928949615714	10308.441843532046	coal	r1
1565.992758326217	10298.391554425416	coal	r1
1594.9926216908625	10288.350862106587	coal	r1
1623.992485055508	10278.31975749795	coal	r1
1652.9923484201536	10268.298231528779	coal	r1
1681.9922117847993	10258.286275135326	coal	r1
1710.9920751494449	10248.283879260689	coal	r1
1739.9919385140904	10238.291034854989	coal	r1
1768.991801878736	10228.307732875142	coal	r1
1797.9916652433817	10218.333964285008	coal	r1
1826.9915286080275	10208.369720055349	coal	r1
1855.991391972673	10198.414991163769	coal	r1
1884.9912553373185	10188.469768594756	coal	r1
1913.991118701964	10178.534043339709	coal	r1
1942.9909820666096	10168.607806396825	coal	r1
1971.9908454312551	10158.691048771138	coal	r1
2000.9907087959007	10148.783761474564	coal	r1
2029.9905721605464	10138.885935525826	coal	r1
2058.9904355251924	10128.997561950478	coal	r1
2087.990298889838	10119.118631780888	coal	r1
2116.9901622544835	10109.249136056196	coal	r1
2145.990025619129	10099.389065822426	coal	r1
2174.9898889837746	10089.538412132324	coal	r1
2203.98975234842	10079.69716604542	coal	r1
2232.9896157130656	10069.865318628066	coal	r1
2261.989479077711	10060.042860953325	coal	r1
2290.9893424423567	10050.229784101035	coal	r1
2319.9892058070022	10040.426079157822	coal	r1
2348.989069171648	10030.631737217002	coal	r1
2377.9889325362938	10020.846749378654	coal	r1
2406.9887959009393	10011.071106749587	coal	r1
2435.988659265585	10001.304800443304	coal	r1
2464.9885226302304	9991.547821580058	coal	r1
2493.9883859948764	9981.800161286774	coal	r1
2522.988249359522	9972.061810697074	coal	r1
2551.9881127241674	9962.332760951273	coal	r1
2580.987976088813	9952.613003196364	coal	r1
2609.9878394534585	9942.90252858602	coal	r1
2638.987702818104	9933.201328280542	coal	r1
2667.98756618275	9923.509393446935	coal	r1
2696.9874295473955	9913.826715258818	coal	r1
2725.987292912041	9904.153284896423	coal	r1
2754.9871562766866	9894.4890935467	coal	r1
2783.987019641332	9884.83413240313	coal	r1
2812.9868830059777	9875.188392665861	coal	r1
2841.986746370623	9865.55186554161	coal	r1
2870.9866097352688	9855.924542243703	coal	r1
2899.9864730999143	9846.306413992083	coal	r1
2928.98633646456	9836.69747201325	coal	r1
2957.9861998292054	9827.097707540282	coal	r1
2986.9860631938514	9817.507111812849	coal	r1
3015.9859265584973	9807.925676077117	coal	r1
3044.985789923143	9798.353391585855	coal	r1
3073.9856532877884	9788.790249598365	coal	r1
3102.985516652434	9779.236241380415	coal	r1
3131.9853800170795	9769.691358204449	coal	r1
3160.985243381725	9760.1555913493	coal	r1
3189.9851067463705	9750.628932100351	coal	r1
3218.984970111016	9741.11137174948	coal	r1
3247.9848334756616	9731.602901595048	coal	r1
3276.984696840307	9722.103512941938	coal	r1
3305.984560204953	9712.613197101466	coal	r1
3334.9844235695987	9703.131945391444	coal	r1
3363.984286934244	9693.659749136154	coal	r1
3392.9841502988897	9684.196599666271	coal	r1
3421.9840136635353	9674.742488319012	coal	r1
3450.983877028181	9665.297406437945	coal	r1
3479.9837403928263	9655.86134537313	coal	r1
3508.983603757472	9646.434296480997	coal	r1
3537.983467122118	9637.016251124409	coal	r1
3566.9833304867634	9627.607200672612	coal	r1
3595.9831938514094	9618.207136501322	coal	r1
3624.983057216055	9608.816049992536	coal	r1
3653.9829205807005	9599.433932534714	coal	r1
3682.982783945346	9590.060775522674	coal	r1
3711.9826473099915	9580.696570357577	coal	r1
3740.982510674637	9571.341308446927	coal	r1
3769.9823740392826	9561.994981204603	coal	r1
3798.982237403928	9552.657580050825	coal	r1
3827.9821007685737	9543.329096412137	coal	r1
3856.981964133219	9534.009521721415	coal	r1
3885.9818274978647	9524.698847417827	coal	r1
3914.9816908625103	9515.397064946887	coal	r1
3943.981554227156	9506.104165760358	coal	r1
3972.9814175918013	9496.820141316332	coal	r1
4001.981280956447	9487.544983079166	coal	r1
4030.981144321093	9478.27868251951	coal	r1
4059.981007685739	9469.021231114271	coal	r1
4088.9808710503844	9459.77262034661	coal	r1
4117.98073441503	9450.532841705952	coal	r1
4146.980597779676	9441.301886687947	coal	r1
4175.980461144321	9432.079746794489	coal	r1
4204.980324508967	9422.86641353372	coal	r1
4233.9801878736125	9413.661878419958	coal	r1
4262.980051238258	9404.466132973748	coal	r1
4291.979914602904	9395.279168721863	coal	r1
4320.979777967549	9386.100977197231	coal	r1
4349.979641332195	9376.931549939014	coal	r1
4378.97950469684	9367.770878492502	coal	r1
4407.979368061486	9358.61895440917	coal	r1
4436.979231426131	9349.475769246646	coal	r1
4465.979094790777	9340.34131456876	coal	r1
4494.978958155422	9331.215581945453	coal	r1
4523.978821520068	9322.0985629528	coal	r1
4552.978684884713	9312.99024917298	coal	r1
4581.978548249359	9303.890632194354	coal	r1
4610.9784116140045	9294.799703611365	coal	r1
4639.97827497865	9285.717455024544	coal	r1
4668.978138343296	9276.643878040555	coal	r1
4697.978001707942	9267.578964272096	coal	r1
4726.9778650725875	9258.52270533802	coal	r1
4755.977728437233	9249.475092863206	coal	r1
4784.977591801879	9240.436118478596	coal	r1
4813.977455166524	9231.405773821207	coal	r1
4842.97731853117	9222.384050534094	coal	r1
4871.977181895815	9213.370940266368	coal	r1
