"x","y","method","rep"
1250000,7841.01437784822,"dadi","r1"
1249000,7841.01437784822,"dadi","r1"
1248000,7841.01437784822,"dadi","r1"
1247000,7841.01437784822,"dadi","r1"
1246000,7841.01437784822,"dadi","r1"
1245000,7841.01437784822,"dadi","r1"
1244000,7841.01437784822,"dadi","r1"
1243000,7841.01437784822,"dadi","r1"
1242000,7841.01437784822,"dadi","r1"
1241000,7841.01437784822,"dadi","r1"
1240000,7841.01437784822,"dadi","r1"
1239000,7841.01437784822,"dadi","r1"
1238000,7841.01437784822,"dadi","r1"
1237000,7841.01437784822,"dadi","r1"
1236000,7841.01437784822,"dadi","r1"
1235000,7841.01437784822,"dadi","r1"
1234000,7841.01437784822,"dadi","r1"
1233000,7841.01437784822,"dadi","r1"
1232000,7841.01437784822,"dadi","r1"
1231000,7841.01437784822,"dadi","r1"
1230000,7841.01437784822,"dadi","r1"
1229000,7841.01437784822,"dadi","r1"
1228000,7841.01437784822,"dadi","r1"
1227000,7841.01437784822,"dadi","r1"
1226000,7841.01437784822,"dadi","r1"
1225000,7841.01437784822,"dadi","r1"
1224000,7841.01437784822,"dadi","r1"
1223000,7841.01437784822,"dadi","r1"
1222000,7841.01437784822,"dadi","r1"
1221000,7841.01437784822,"dadi","r1"
1220000,7841.01437784822,"dadi","r1"
1219000,7841.01437784822,"dadi","r1"
1218000,7841.01437784822,"dadi","r1"
1217000,7841.01437784822,"dadi","r1"
1216000,7841.01437784822,"dadi","r1"
1215000,7841.01437784822,"dadi","r1"
1214000,7841.01437784822,"dadi","r1"
1213000,7841.01437784822,"dadi","r1"
1212000,7841.01437784822,"dadi","r1"
1211000,7841.01437784822,"dadi","r1"
1210000,7841.01437784822,"dadi","r1"
1209000,7841.01437784822,"dadi","r1"
1208000,7841.01437784822,"dadi","r1"
1207000,7841.01437784822,"dadi","r1"
1206000,7841.01437784822,"dadi","r1"
1205000,7841.01437784822,"dadi","r1"
1204000,7841.01437784822,"dadi","r1"
1203000,7841.01437784822,"dadi","r1"
1202000,7841.01437784822,"dadi","r1"
1201000,7841.01437784822,"dadi","r1"
1200000,7841.01437784822,"dadi","r1"
1199000,7841.01437784822,"dadi","r1"
1198000,7841.01437784822,"dadi","r1"
1197000,7841.01437784822,"dadi","r1"
1196000,7841.01437784822,"dadi","r1"
1195000,7841.01437784822,"dadi","r1"
1194000,7841.01437784822,"dadi","r1"
1193000,7841.01437784822,"dadi","r1"
1192000,7841.01437784822,"dadi","r1"
1191000,7841.01437784822,"dadi","r1"
1190000,7841.01437784822,"dadi","r1"
1189000,7841.01437784822,"dadi","r1"
1188000,7841.01437784822,"dadi","r1"
1187000,7841.01437784822,"dadi","r1"
1186000,7841.01437784822,"dadi","r1"
1185000,7841.01437784822,"dadi","r1"
1184000,7841.01437784822,"dadi","r1"
1183000,7841.01437784822,"dadi","r1"
1182000,7841.01437784822,"dadi","r1"
1181000,7841.01437784822,"dadi","r1"
1180000,7841.01437784822,"dadi","r1"
1179000,7841.01437784822,"dadi","r1"
1178000,7841.01437784822,"dadi","r1"
1177000,7841.01437784822,"dadi","r1"
1176000,7841.01437784822,"dadi","r1"
1175000,7841.01437784822,"dadi","r1"
1174000,7841.01437784822,"dadi","r1"
1173000,7841.01437784822,"dadi","r1"
1172000,7841.01437784822,"dadi","r1"
1171000,7841.01437784822,"dadi","r1"
1170000,7841.01437784822,"dadi","r1"
1169000,7841.01437784822,"dadi","r1"
1168000,7841.01437784822,"dadi","r1"
1167000,7841.01437784822,"dadi","r1"
1166000,7841.01437784822,"dadi","r1"
1165000,7841.01437784822,"dadi","r1"
1164000,7841.01437784822,"dadi","r1"
1163000,7841.01437784822,"dadi","r1"
1162000,7841.01437784822,"dadi","r1"
1161000,7841.01437784822,"dadi","r1"
1160000,7841.01437784822,"dadi","r1"
1159000,7841.01437784822,"dadi","r1"
1158000,7841.01437784822,"dadi","r1"
1157000,7841.01437784822,"dadi","r1"
1156000,7841.01437784822,"dadi","r1"
1155000,7841.01437784822,"dadi","r1"
1154000,7841.01437784822,"dadi","r1"
1153000,7841.01437784822,"dadi","r1"
1152000,7841.01437784822,"dadi","r1"
1151000,7841.01437784822,"dadi","r1"
1150000,7841.01437784822,"dadi","r1"
1149000,7841.01437784822,"dadi","r1"
1148000,7841.01437784822,"dadi","r1"
1147000,7841.01437784822,"dadi","r1"
1146000,7841.01437784822,"dadi","r1"
1145000,7841.01437784822,"dadi","r1"
1144000,7841.01437784822,"dadi","r1"
1143000,7841.01437784822,"dadi","r1"
1142000,7841.01437784822,"dadi","r1"
1141000,7841.01437784822,"dadi","r1"
1140000,7841.01437784822,"dadi","r1"
1139000,7841.01437784822,"dadi","r1"
